Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
David Fry,CLE,C,28,45,122,28,41,8,0,8,28,4,0,24,28,0,2,7,.336,.465,.598,1.063
Danny Jansen,TOR,C,29,36,121,21,33,11,0,5,15,0,0,15,19,0,2,0,.273,.348,.488,.836
Christian Vazquez,MIN,C,33,38,120,7,21,2,0,2,8,2,1,3,30,2,2,1,.175,.198,.242,.440
Ildemaro Vargas,WSH,3B,32,41,119,13,33,10,0,0,10,5,3,13,14,3,0,0,.277,.348,.361,.709
Tyrone Taylor,NYM,OF,30,47,119,14,28,6,1,2,16,6,0,4,27,1,1,0,.235,.258,.353,.611
J.D. Davis,OAK,3B,31,36,118,11,27,4,0,4,5,0,0,6,29,0,0,2,.229,.278,.364,.642
Mike Siani,STL,OF,24,58,118,16,24,2,1,1,9,6,2,7,35,7,1,1,.203,.252,.263,.515
Gabriel Arias,CLE,SS,24,40,118,11,25,7,1,1,10,4,1,5,40,0,1,1,.212,.248,.314,.562
Manuel Margot,MIN,OF,29,55,117,13,25,4,0,1,11,3,0,11,23,0,1,0,.214,.279,.274,.553
Vidal Brujan,MIA,2B,26,46,117,15,30,7,2,1,7,2,3,9,19,0,0,3,.256,.326,.376,.702
Jake Rogers,DET,C,29,39,116,19,26,5,0,4,8,0,0,8,40,0,0,2,.224,.286,.371,.657
Kevin Kiermaier,TOR,OF,34,46,116,13,24,4,2,2,9,4,0,7,39,3,1,1,.207,.256,.328,.584
Nick Fortes,MIA,C,27,46,116,9,20,3,0,2,10,0,1,4,15,1,0,2,.172,.213,.250,.463
Christian Encarnacion-Strand,CIN,1B,24,29,116,13,22,6,0,2,16,0,0,4,35,0,2,1,.190,.220,.293,.513
Jose Trevino,NYY,C,31,40,115,16,30,0,0,5,18,0,0,9,17,0,2,1,.261,.315,.391,.706
Jorge Mateo,BAL,SS,28,42,114,19,28,12,1,3,13,10,1,8,30,2,3,1,.246,.294,.447,.741
Trevor Larnach,MIN,OF,27,35,114,16,30,3,0,6,18,1,0,12,26,0,1,0,.263,.331,.447,.778
Enmanuel Valdez,BOS,2B,25,36,113,13,21,6,0,5,19,0,1,5,33,1,3,0,.186,.215,.372,.587
Ernie Clement,TOR,SS,28,48,112,13,26,5,1,2,9,3,0,3,8,2,1,1,.232,.256,.348,.604
David Hamilton,BOS,SS,26,40,112,17,31,6,1,2,7,12,1,9,30,0,0,1,.277,.336,.402,.738
Willie Calhoun,LAA,OF,29,31,112,14,32,10,0,1,7,0,0,5,14,0,1,0,.286,.314,.402,.716
Rob Refsnyder,BOS,OF,33,37,111,13,37,11,1,2,14,1,1,10,30,0,0,3,.333,.403,.505,.908
Carson Kelly,DET,C,29,39,110,9,26,3,1,2,14,0,0,10,28,0,0,3,.236,.317,.336,.653
Nick Ahmed,SF,SS,34,36,110,9,26,4,1,0,11,0,1,5,23,2,1,1,.236,.274,.291,.565
Nick Martini,CIN,OF,33,38,110,20,22,3,1,4,21,0,1,4,29,0,3,3,.200,.242,.355,.597
Cavan Biggio,TOR,2B,29,44,110,15,22,4,0,2,9,2,0,14,42,0,0,6,.200,.323,.291,.614
Austin Wells,NYY,C,24,38,110,13,22,7,0,1,7,1,0,14,25,0,3,1,.200,.289,.291,.580
James Outman,LAD,OF,27,36,109,10,16,4,0,3,10,2,1,13,40,0,0,2,.147,.250,.266,.516
Stuart Fairchild,CIN,OF,28,49,109,16,26,3,0,4,15,6,1,12,26,1,0,2,.239,.325,.376,.701
Whit Merrifield,PHI,2B,35,34,109,15,19,4,0,3,7,6,1,11,12,1,0,0,.174,.250,.294,.544
Mike Trout,LAA,OF,32,29,109,17,24,1,2,10,14,6,1,16,27,0,0,1,.220,.325,.541,.866
Willson Contreras,STL,C,32,31,107,20,30,11,0,6,12,2,0,18,35,0,0,3,.280,.398,.551,.949
Trey Lipscomb,WSH,3B,23,33,107,16,27,1,0,1,9,10,1,11,20,0,1,2,.252,.331,.290,.621
Ben Rortvedt,TB,C,26,46,107,16,26,4,0,0,9,1,0,18,32,0,0,1,.243,.357,.280,.637
Lawrence Butler,OAK,OF,23,41,106,8,19,4,0,2,7,3,0,15,36,0,0,0,.179,.281,.274,.555
Edmundo Sosa,PHI,SS,28,35,106,20,31,5,4,4,17,2,0,7,29,0,0,3,.292,.353,.528,.881
Brandon Drury,LAA,2B,31,30,104,9,18,4,0,1,6,0,0,6,22,0,1,2,.173,.230,.240,.470
Dominic Smith,BOS,1B,28,33,103,9,23,5,0,2,18,0,1,13,22,0,0,2,.223,.322,.330,.652
Alejandro Kirk,TOR,C,25,34,103,4,22,4,0,1,14,0,0,13,16,0,3,1,.214,.300,.282,.582
Emmanuel Rivera,MIA,3B,27,46,103,8,22,4,0,0,6,1,0,11,27,0,1,3,.214,.305,.252,.557
Freddy Fermin,KC,C,29,35,102,14,30,6,0,1,11,0,0,8,21,0,0,0,.294,.345,.382,.727
Michael Massey,KC,2B,26,29,102,17,30,6,0,6,23,0,0,3,16,2,3,0,.294,.306,.529,.835
DJ Stewart,NYM,OF,30,49,102,11,19,4,0,4,16,1,0,21,28,0,1,4,.186,.344,.343,.687
Jose Abreu,HOU,1B,37,32,102,8,12,1,0,2,6,0,0,4,27,0,1,2,.118,.165,.186,.351
Heliot Ramos,SF,OF,24,28,101,13,33,5,0,6,23,1,0,15,35,0,0,1,.327,.419,.554,.973
Chas McCormick,HOU,OF,29,32,99,8,20,3,1,0,8,3,0,9,31,0,1,1,.202,.273,.253,.526
Miguel Rojas,LAD,SS,35,38,99,12,28,9,0,2,12,3,0,8,8,0,0,0,.283,.336,.434,.770
Kyle Farmer,MIN,SS,33,49,99,10,17,8,0,0,10,3,2,10,23,0,0,4,.172,.274,.253,.527
Estevan Florial,CLE,OF,26,36,98,11,17,6,2,3,11,2,1,11,41,1,0,1,.173,.264,.367,.631
Reese McGuire,BOS,C,29,37,97,9,21,1,0,3,14,3,0,9,30,1,2,1,.216,.284,.320,.604
Martin Maldonado,CWS,C,37,34,95,2,7,1,0,1,4,0,0,6,38,2,0,0,.074,.129,.116,.245
Otto Lopez,MIA,SS,25,35,95,11,28,3,0,3,18,4,1,4,17,1,2,1,.295,.324,.421,.745
Nick Gonzales,PIT,2B,25,26,95,13,29,5,1,4,23,2,0,5,25,1,3,2,.305,.343,.505,.848
